MANTHAN,"NH 48-Vathar Tarf Vadgaon-Maharashtra 416112",16.847404037313463-74.28981101383555
SWAGAT,"V72W+5J9-Vather-Peth Vadgaon-Vathar Tarf-Vadgaon Maharashtra 416112",16.855815289028467-74.29659328225469
